"ID","UID","NAMEID","SPUSERID","PNID","FIRSTNAME","LASTNAME","EMAIL","STATUS","TYPE_ID","AUTHENTICATION_ID","ACTIVATEDAT","CREATEDAT","CREATEDBY","CREATEDBYOBT","CHANGEDAT","ORGANIZATIONTYPE","INVITINGMAHPNID","ORG_ID"
"8ad9e3fe-dd33-46f4-91c3-f81f58795ded","d79b1cf4-8fa3-4245-a440-ec7eaed85021","P005537","70505E4D-F5A8-463F-AF7F-8925035F8E3C","PNSAP_6001","Kedar","Kulkarni","kedar.user3@gmail.com","Active","2","P005537","2022-01-07 08:58:59.829000000","2022-01-07 08:56:36.228000000",,"false",,"PNSAP_6001",,
"5f67c753-67d9-44c5-9712-8cc00eb2b00e","86d15bfe-795b-42fc-b055-9e8758811a5c","P006440","Portal:12532348-9B50-491A-92D7-FFA514D96CAD","NonUSSC","Non","USSC","non.ussctest@mailinator.com","Active","1","P006440","2022-05-11 16:02:16.610000000","2022-05-11 15:59:09.792000000","P003211","true",,,,"NonUSSC"
"30366572-f97b-4b7a-b65e-37e03e0f1df0","d9ec1e0f-079f-48d5-8c11-5c8dc7f12d70","P005569","10E508BC-2029-4D8B-B3E9-98FFAD30FF70","PNSAP_6001","Test","User","test.user1@gmail.com","Active","2","P005569","2022-01-11 15:36:46.221000000","2022-01-11 15:32:42.249000000",,"false",,"PNSAP_6001",,
"d404b0e7-f7fc-47b5-9d96-ab464656bc0e","d900c743-43ed-4b9f-ba96-2bf07c96ee7d","P006441","Portal:635CD94A-3680-4633-960C-2E44BB48AC19","NonUSSC","Brazil","Usertest","brazil.usertest@mailinator.com","Active","1","P006441","2022-05-11 16:12:17.456000000","2022-05-11 16:07:48.282000000","P003211","true",,,,"NonUSSC"
"cfce1a34-91ce-43f6-9639-c2f8b181ad68","52d5691e-5648-4da0-b9bd-07457aa9c4f3","P005682","60494DCC-7680-4DC3-8D36-66A9C8AD04C0","PNCONTRACTMAN20160812","asd","asd","asdasd@sdasdsa.com","Active","1","P005682","2022-01-21 07:50:47.053000000","2022-01-21 07:46:39.405000000",,"false",,"PNCONTRACTMAN20160812",,
"228b763d-41c6-4cb4-b835-b762561d4df7","dc9423b1-029a-45da-b2ec-a2c046ed6279","P005081","06564319-8892-47A9-BF3E-A070CDDDA9E3","PNCUSTOMER002","Customer2","User","customer2user@mailitor.com","Active","1","P005081","2021-09-16 08:32:53.184000000",,,"false","2021-09-16 08:52:28.939000000",,,
"64f2a425-d349-4c8b-a323-fb7dd9b140cb","c4aace8d-7bb9-4884-aa08-c4e65429db0d","P005083","96F79A4D-6DA0-46A1-8BE5-1C249C2BE0C4","BP_20210823051612","BP","TestUser","testuser105@mailinator.com","Active","2","P005083","2021-09-16 09:30:55.929000000","2021-09-16 09:30:38.905000000",,"false","2021-09-16 09:31:17.786000000",,,
"e70bdb0d-3e15-4c2b-8963-26851b772e09","08238d0b-77b9-49e3-877b-521e9e1ab0ae","P006624","Portal:B00126DD-4441-4421-9156-9B2136E5ECCE,PBC:2A65E675-40DC-4FDF-80C0-21CB69C6BC51","TestJune2022","test","june72022","june22.test@mailinator.com","Active","1","P006624","2022-06-07 15:01:47.015000000","2022-06-07 15:00:29.720000000","P004762","true",,,,"TestJune2022"
"b0effbd7-d23a-4fac-9236-822e557f34b6","d8c062b5-3ecf-4df6-9004-7f1c88c7ed1f","P006633","Portal:DCC1265E-5D4B-466A-A22E-C1301B0F17B0,PBC:42613B4D-4458-4401-86B4-13AAE429E3A8","USDSCSA001","Grady","Lv","grady.lv@sap.com","Active","1","P006633","2022-06-09 06:08:50.996000000","2022-06-09 06:05:43.482000000","P003211","false","2022-06-15 05:41:52.455000000",,,"USDSCSA001"
"3d58ab2b-f69a-4e55-a5c1-4aa0db5e4e2c","eeff4db6-32dc-4898-b132-f3570b973c41","P005238","BE4CC05F-DA23-4230-A28E-2FBF2259CAFB","PNCUSTOMER002","Neha","Testing","nehatesting@mailinator.com","Active","2","P005238","2021-10-11 15:42:38.943000000","2021-10-11 15:40:45.257000000",,"false",,,,"PNCUSTOMER002"
"48a3da4a-b52d-4fce-aa3c-b3bb54b3d296","af137b86-6f22-4048-ba9f-5e574104b0c3","P005894","2D4EE3B7-D1A7-43FD-AEFF-9C22C643B27F","sadasdsa","m","mm","mm@gmail.com","Active","1","P005894","2022-02-01 01:12:33.192000000","2022-02-01 01:09:17.782000000",,"false",,"sadasdsa",,
"f5d64098-d806-4477-9eee-758df9512455","e5a6ccd8-aece-4df0-8c87-df364bd5d9ba","P005605","84E24FEA-CDAF-47E5-A13C-B77C3FFDE8F4","TEST_O1","TESTERO1","TESTING","TESTINGO1@GMAIL.COM","Active","1","P005605","2022-01-18 06:46:07.258000000",,,"false",,,,
"af2713cc-4537-4c1e-8ead-db6d46f935ac","c8992f00-4d27-4791-8b90-327862b5296f","P005603","77289E28-9D53-4C63-9F5B-973ED07848CA","O2","TEST2","Testing","tester2@gmail.com","Active","1","P005603","2022-01-17 16:53:18.969000000",,,"false",,,,
"957caed2-4b07-4646-bdb0-1711218564cc","9da377e6-523a-4411-bd16-13450ba07225","P006634","Portal:0F044445-6B76-4D39-A0E8-3351E8108D91,PBC:40218D2A-B122-4E5B-AE58-CB51856C9FD6","USDSCSA001","kedar","Kulkarni","kedar.kulkarni2@mailinator.com","Active","1","P006634","2022-06-09 08:38:52.583000000","2022-06-09 08:35:32.550000000","P003211","false",,,,"USDSCSA001"
"636a55f5-fc54-4ab9-9cfb-7ba2298e5993","a8f8fbf1-7be3-4cbb-b092-ca2104eb5cae","P006601","Portal:82843E3C-32D0-4D7F-B77D-9827BD23DCAD","NK_TEST_USSC_ORG","test","user","nktestusscorguser@mailinator.com","Active","1","P006601","2022-06-06 12:46:34.348000000","2022-06-06 12:43:57.069000000","P004757","true","2022-06-10 07:32:16.378000000",,,"NK_TEST_USSC_ORG"
"b82222aa-be06-4efa-9d3b-779c3a5466e4","6471e31f-0c80-4d6d-a815-bacfa13c52c8","P006644","Portal:89DAA939-02C0-47C7-9C58-9EDF429C5A1D,PBC:FBC8B13A-DCEF-4CC0-AFA3-15E63857F85A","PNTESTORGNK001","nk","test001","nk.test001@mailinator.com","Active","1","P006644","2022-06-10 07:41:59.387000000","2022-06-10 07:37:00.015000000","P004757","true","2022-06-10 09:17:26.724000000",,,"PNTESTORGNK001"
"1fd139c1-49a0-4be3-9ff7-e89c50c6008c","6602dc50-3b36-4567-b770-39b591ab39e3","P006645","Portal:E61FD7F5-8F8D-40A3-84BE-078045B3863F,PBC:E08786A9-35DE-4B5D-B9F7-027D2F3FC242","TESTPNID","first","last","devtest@mailnesia.com","Active","1","P006645","2022-06-10 11:22:01.297000000","2022-06-10 11:20:38.399000000","P004757","true","2022-06-13 05:54:16.796000000",,,"TESTPNID"
"94cba543-5918-46b6-87ab-5797bb7db7fa","b58434b0-f903-46ba-b016-a5a99b814aa6","P006657","Portal:D0CC0A23-63EB-4E86-BD76-38DDF1B94753,PBC:8C68B09D-53B1-4ABD-8CF1-26E746BFA54A","USSC_VRS","US","VRS","us.vrs1@mailinator.com","Active","1","P006657","2022-06-13 10:46:37.315000000","2022-06-13 10:44:30.160000000","P004762","true","2022-06-13 10:50:06.805000000",,,"USSC_VRS"
"bc781941-552b-4e19-9041-086d98494a11","e6b334a5-ca6f-4168-ae3b-fc3b688c9c09","P005895","3CA0D64C-F93D-4B84-BF81-8858D4B209E9","PNNOVARTIS20160811","ol","olast","ol@gmail.com","Active","1","P005895","2022-02-01 01:12:33.673000000","2022-02-01 01:10:08.336000000",,"false","2022-02-01 20:16:37.498000000","PNNOVARTIS20160811",,
"cecc34eb-751f-4a59-aad5-8878cdba65e2","0b54c29e-d846-400b-86cd-5d7c1b9b152e","P006661","Portal:CE13AA3F-A967-4740-A2C2-996C3D763761,PBC:B6D73ED4-3AE8-418B-B019-CF6FAC6492F3","USDSCSA001","Lv","Grady","grady.lv@mailinator.com","Active","1","P006661","2022-06-15 05:55:51.993000000","2022-06-15 05:51:51.457000000","P006633","false",,,,"USDSCSA001"
"2879fa13-daac-4091-b354-1bfc40424a9b","e9f451a6-234d-4274-bd59-0f82ff1a47fd","P005733","2DE20C06-DE0B-4204-85D7-B82FCD2A86BE","PN-123456","MN","User","mninv2user@mailinator.com","Active","3","P005733","2022-01-24 06:00:57.700000000","2022-01-24 05:59:26.712000000",,"false",,,,
"bd574aed-9d8b-477a-b917-2e3d9e4a8d20","e7bc2649-51f8-408c-900f-0f8ea399e176","P005735","417EB02A-F0F2-4B3D-B214-476E6882C09B","MNCORP_20220124063543","MN","User","mninv1user@mailinator.com","Active","3","P005735","2022-01-24 06:35:58.686000000","2022-01-24 06:35:43.625000000",,"false",,,,
"e7a579b0-9a6c-4cd0-8b33-879a8c3bfdea","5d97c273-23d3-4d12-a2ec-b7046bf7f78f","P005742","2B7A8E1C-A98F-4463-AEB5-60AB8B0F9F97","PNCONTRACTMAN20160812","b","n","bn@gmail.com","Active","1","P005742","2022-01-24 11:16:01.375000000","2022-01-24 11:11:17.961000000",,"false",,"PNCONTRACTMAN20160812",,
"a8167c80-c6ee-4eaa-a39a-ddd679843c1a","dde1a381-57cb-4e98-be6a-871bca72a5aa","P005743","617C8660-5629-4C01-B8E2-0FCB3EAE0749","PNNOVARTIS20170955","o3","test","o3@mailinator.com","Active","1","P005743","2022-01-24 11:16:02.124000000","2022-01-24 11:15:49.823000000",,"false",,"PNNOVARTIS20170955",,
"b15e4c2d-2fce-488b-a5f6-00c7d9be2e53","ebcc0423-987a-4bf4-8c61-a5f96fa65a06","P005744","FC9B3D8E-CAFF-49FC-AC8B-EEB49FFE70AC","PNNOVARTIS20170955","o4","test","o4@mailinator.com","Active","1","P005744","2022-01-24 11:26:02.770000000","2022-01-24 11:21:20.015000000",,"false",,"PNNOVARTIS20170955",,
"a1b5550a-f49d-4d63-84f7-bc19e59deb78","0680bfc2-e985-4754-941d-2ba4ac4ec735","P005750","19D088DD-0C7A-427E-9F9B-38D64157F491","PNNOVARTIS20170955","o45","test","o45@mailinator.com","Active","1","P005750","2022-01-24 12:16:03.840000000","2022-01-24 12:12:31.815000000",,"false",,"PNNOVARTIS20170955",,
"d94fe21c-c391-4b50-aaa5-f3afdf744411","274ce9cb-aac5-4e09-8b6e-a981e778e3d2","P006665","Portal:F5FD6113-1F20-4CE9-967B-A7C1B76A4E61,PBC:194711AC-C552-4323-9CBC-AE65592E384E","USSC_VRS_MAH","US","MAH","us.vrs2@mailinator.com","Active","1","P006665","2022-06-16 06:38:41.496000000","2022-06-16 06:35:11.777000000","P004762","true","2022-06-16 06:42:49.940000000",,,"USSC_VRS_MAH"
"ca2c161b-0521-460c-8adf-8631971bda9e","825dcfe7-1936-47c2-a38c-e065e8fc23dd","P005903","BA6D4887-8619-4A89-A7E2-6BC4171B39A2","sfdrewqrdsad","test7kb","kblast7","krishmabhatia@gmail.com","Active","2","P005903","2022-02-01 18:49:08.618000000","2022-02-01 18:45:46.757000000",,"false",,"sfdrewqrdsad",,
"9ed86777-9f69-453c-8ab2-07d75b6d69c7","3ce0ddff-127b-4696-87a9-841e7e0ffa11","P006692","Portal:B26A200E-9470-4196-808E-D71AB7ABAD09,PBC:FEF4D1A3-956A-4A83-A08A-95DE04D0B30B","USDISP_20220623041052","US","Dispenser20","us.dispenser20@mailinator.com","Active","3","P006692","2022-06-23 04:12:08.175000000","2022-06-23 04:10:53.035000000",,"true","2022-06-23 04:32:46.800000000",,,"USDISP_20220623041052"
